author,page_url,quote,tags,tags_url
Albert Einstein,https://quotes.toscrape.com/page/1/,“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,"change,deep-thoughts,thinking,world","/tag/change/page/1/,/tag/deep-thoughts/page/1/,/tag/thinking/page/1/,/tag/world/page/1/"
J.K. Rowling,https://quotes.toscrape.com/page/1/,"“It is our choices, Harry, that show what we truly are, far more than our abilities.”","abilities,choices","/tag/abilities/page/1/,/tag/choices/page/1/"
Albert Einstein,https://quotes.toscrape.com/page/1/,“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,"inspirational,life,live,miracle,miracles","/tag/inspirational/page/1/,/tag/life/page/1/,/tag/live/page/1/,/tag/miracle/page/1/,/tag/miracles/page/1/"
Jane Austen,https://quotes.toscrape.com/page/1/,"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”","aliteracy,books,classic,humor","/tag/aliteracy/page/1/,/tag/books/page/1/,/tag/classic/page/1/,/tag/humor/page/1/"
Marilyn Monroe,https://quotes.toscrape.com/page/1/,"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”","be-yourself,inspirational","/tag/be-yourself/page/1/,/tag/inspirational/page/1/"
Albert Einstein,https://quotes.toscrape.com/page/1/,“Try not to become a man of success. Rather become a man of value.”,"adulthood,success,value","/tag/adulthood/page/1/,/tag/success/page/1/,/tag/value/page/1/"
André Gide,https://quotes.toscrape.com/page/1/,“It is better to be hated for what you are than to be loved for what you are not.”,"life,love","/tag/life/page/1/,/tag/love/page/1/"
Thomas A. Edison,https://quotes.toscrape.com/page/1/,"“I have not failed. I've just found 10,000 ways that won't work.”","edison,failure,inspirational,paraphrased","/tag/edison/page/1/,/tag/failure/page/1/,/tag/inspirational/page/1/,/tag/paraphrased/page/1/"
Eleanor Roosevelt,https://quotes.toscrape.com/page/1/,“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,misattributed-eleanor-roosevelt,/tag/misattributed-eleanor-roosevelt/page/1/
Steve Martin,https://quotes.toscrape.com/page/1/,"“A day without sunshine is like, you know, night.”","humor,obvious,simile","/tag/humor/page/1/,/tag/obvious/page/1/,/tag/simile/page/1/"
Albert Einstein,https://quotes.toscrape.com/page/9/,“Anyone who has never made a mistake has never tried anything new.”,mistakes,/tag/mistakes/page/1/
Jane Austen,https://quotes.toscrape.com/page/9/,"“A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment.”","humor,love,romantic,women","/tag/humor/page/1/,/tag/love/page/1/,/tag/romantic/page/1/,/tag/women/page/1/"
J.K. Rowling,https://quotes.toscrape.com/page/9/,"“Remember, if the time should come when you have to make a choice between what is right and what is easy, remember what happened to a boy who was good, and kind, and brave, because he strayed across the path of Lord Voldemort. Remember Cedric Diggory.”",integrity,/tag/integrity/page/1/
Jane Austen,https://quotes.toscrape.com/page/9/,"“I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library.”","books,library,reading","/tag/books/page/1/,/tag/library/page/1/,/tag/reading/page/1/"
Jane Austen,https://quotes.toscrape.com/page/9/,"“There are few people whom I really love, and still fewer of whom I think well. The more I see of the world, the more am I dissatisfied with it; and every day confirms my belief of the inconsistency of all human characters, and of the little dependence that can be placed on the appearance of merit or sense.”","elizabeth-bennet,jane-austen","/tag/elizabeth-bennet/page/1/,/tag/jane-austen/page/1/"
C.S. Lewis,https://quotes.toscrape.com/page/9/,“Some day you will be old enough to start reading fairy tales again.”,"age,fairytales,growing-up","/tag/age/page/1/,/tag/fairytales/page/1/,/tag/growing-up/page/1/"
C.S. Lewis,https://quotes.toscrape.com/page/9/,“We are not necessarily doubting that God will do the best for us; we are wondering how painful the best will turn out to be.”,god,/tag/god/page/1/
Mark Twain,https://quotes.toscrape.com/page/9/,“The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.”,"death,life","/tag/death/page/1/,/tag/life/page/1/"
Mark Twain,https://quotes.toscrape.com/page/9/,“A lie can travel half way around the world while the truth is putting on its shoes.”,"misattributed-mark-twain,truth","/tag/misattributed-mark-twain/page/1/,/tag/truth/page/1/"
C.S. Lewis,https://quotes.toscrape.com/page/9/,"“I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else.”","christianity,faith,religion,sun","/tag/christianity/page/1/,/tag/faith/page/1/,/tag/religion/page/1/,/tag/sun/page/1/"
J.K. Rowling,https://quotes.toscrape.com/page/10/,"“The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.”",truth,/tag/truth/page/1/
